AQW00061705       11343C
USC00153762        4495R
USC00153929        4424S
USC00153994        4668R
USC00154138        3931Q
USC00154208        4118R
USC00154375        4680Q
USC00154703        4016S
USC00154958        4275Q
USC00154967        4879R
USC00155067        4836R
USC00155097        4838R
USC00155111        4157R
USC00155165        4439Q
USC00155233        4908R
USC00155243        4041R
USC00155280        4179Q
USC00155389        4251R
USC00155524        4309S
USC00155640        3870R
USC00155648        4176S
USC00155694        4874R
USC00155834        4568S
USC00156012        3568Q
USC00156028        4228Q
USC00156091        4933R
USC00156117        4911R
USC00156136        4249R
USC00156224        4208Q
USC00156580        4832S
USC00156595        4732R
USC00156882        4575R
USC00156988        4289S
USC00157049        4528R
USC00157215        4427S
USC00157324        3997R
USC00157510        4212R
USC00157592        4448Q
USC00157652        3923Q
USC00157677        4043S
USC00157800        4401R
USC00158432        3657Q
USC00158446        3990R
USC00158551        3822R
USC00158553        3915Q
USC00158555        4495Q
USC00158709        4055R
USC00158714        4260R
USC00158824        4317Q
USC00160098        6556S
USC00160103        6213R
USC00160205        6489S
USC00160349        6043S
USC00160537        5777S
USC00160718        5967Q
USC00160800        6002R
USC00160945        6574R
USC00161232        6492S
USC00161246        6569R
USC00161287        6522S
USC00161292        7362R
USC00161411        5783S
USC00161565        6887S
USC00161899        6206S
USC00161941        6191Q
USC00161979        5939R
USC00162151        6571R
USC00162212        6827S
USC00162361        6486R
USC00162367        6603S
USC00162534        6831C
USC00162800        6528R
USC00162981        6960R
USC00163079        5964R
USC00163313        6924R
USC00163327        6568R
USC00163433        7219S
USC00163800        6832S
USC00163979        7231R
USC00164030        6608S
USC00164288        6337Q
USC00164355        5637R
USC00164407        7244R
USC00164674        6949S
USC00164696        6074R
USC00164700        6827C
USC00164739        6435R
USC00165021        6759R
USC00165065        7127R
USC00165090        5990C
USC00165146        6358Q
USC00165266        6270R
USC00165296        6904R
USC00165527        6061R
USC00165620        6745S
USC00165624        7330R
USC00165630        6470S
USC00165874        6015R
USC00165892        6229R
USC00165926        6908R
USC00166244        5973S
USC00166314        5961S
USC00166364        6014Q
USC00166394        7069S
USC00166434        6688Q
USC00166582        6539S
USC00166584        6338Q
USC00166657        7144R
USC00166686        6782S
USC00166938        6632R
USC00166978        6166R
USC00167344        5886R
USC00167691        6184R
USC00167738        6165S
USC00167767        7011S
USC00167924        6069Q
USC00167932        6840S
USC00168046        6274S
USC00168067        5695R
USC00168108        7064R
USC00168163        6355S
USC00168181        6671Q
USC00168444        6008Q
USC00168448        6102Q
USC00168539        6801S
USC00168543        6701R
USC00168923        6142S
USC00168941        7313R
USC00169013        7024R
USC00169074        6376Q
USC00169803        6168R
USC00169804        6167Q
USC00169806        6223S
USC00170100        2498S
USC00170200        1854R
USC00170398        2129R
USC00170480        2081S
USC00170655        2095Q
USC00170814        1852S
USC00170833        2066S
USC00170844        2227S
USC00171472        1790R
USC00171628        2322S
USC00171833        2142R
USC00171975        2135R
USC00172048        2205R
USC00172238        2265S
USC00172426        1783R
USC00172620        2268R
USC00172623        2179Q
USC00172700        1749R
USC00172765        2216C
USC00172878        1776S
USC00173046        2417S
USC00173261        2311R
USC00173295        2464R
USC00173353        1872Q
USC00173417        2136Q
USC00173570        1954R
USC00173862        2389R
USC00173944        2155R
USC00174086        1893S
USC00174183        1943R
USC00174193        2114R
USC00174566        2441R
USC00174683        2283Q
USC00174781        1727S
USC00174927        2250S
USC00175261        1891R
USC00175304        2161S
USC00175347        2282Q
USC00175675        2287S
USC00176430        2506R
USC00176594        1898R
USC00176721        1824R
USC00176856        2308Q
USC00176875        1979Q
USC00176881        1727R
USC00176937        2136S
USC00177037        1854S
USC00177039        1718R
USC00177174        1899R
USC00177238        1950R
USC00177325        2371S
USC00177479        2857S
USC00177654        2153R
USC00178353        2189R
USC00178792        2132Q
USC00178817        2330Q
USC00178965        1842S
USC00178974        2262R
USC00179151        2453S
USC00179294        2047R
USC00179314        2499S
USC00179547        2120Q
USC00179593        2171S
USC00179891        2324S
USC00180193        4748R
USC00180335        4214R
USC00180700        4101S
USC00180732        4397R
USC00181385        4627R
USC00181530        3541S
USC00181750        4053S
USC00181862        3981R
USC00181995        4404R
USC00182060        4115R
USC00182282        4090S
USC00182308        3649Q
USC00182325        4407S
USC00182335        3814R
USC00182336        3640R
USC00182906        3588S
USC00183348        4310R
USC00183353        3859Q
USC00183415        2746S
USC00183675        4030R
USC00184030        3699R
USC00185080        4407R
USC00185111        4303R
USC00185832        2743R
USC00185865        3997S
USC00185934        3497R
USC00185985        4194R
USC00186350        4520S
USC00186620        2777S
USC00186770        4281R
USC00186800        4345Q
USC00187330        4337R
USC00187705        4040R
USC00187806        4464S
USC00188000        4608S
USC00188065        2983S
USC00188207        3708R
USC00188371        3586Q
USC00188380        4490C
USC00188405        4656Q
USC00188557        4149Q
USC00189030        3823R
USC00189070        4119R
USC00189140        4609S
USC00189440        3862R
USC00189570        3747Q
USC00189750        4083R
USC00190120        2886S
USC00190190        2494Q
USC00190192        2389Q
USC00190213        2263Q
USC00190408        2424R
USC00190535        2922R
USC00190562        2727Q
USC00190593        2568R
USC00190666        2587R
USC00190759        2370R
USC00190840        2884Q
USC00190860        2896S
USC00190998        2806R
USC00191386        2399S
USC00191774        2302R
USC00191821        2582Q
USC00192107        2807S
USC00192451        2837R
USC00192501        3022S
USC00193213        2848R
USC00193229        2699Q
USC00193276        2838R
USC00193505        2864S
USC00193624        3042S
USC00193821        2743R
USC00193890        3151R
USC00193985        2646R
USC00194075        2388R
USC00194105        3108S
USC00194131        2645R
USC00194313        2978R
USC00194502        2826R
USC00194580        3104S
USC00194711        2927Q
USC00194744        3237S
USC00195175        2869Q
USC00195246        3239R
USC00195984        2970R
USC00196245        2696R
USC00196486        3002S
USC00196783        2948S
USC00196938        3025S
USC00197230        2119Q
USC00197627        2684R
USC00198367        3146R
USC00198573        2740R
USC00198757        3116S
USC00199193        2809Q
USC00199316        3113R
USC00199371        2283Q
USC00199972        2351R
USC00200032        2891S
USC00200089        2070R
USC00200106        3004Q
USC00200128        2753R
USC00200146        2756C
USC00200166        2249R
USC00200197        2112Q
USC00200220        2891Q
USC00200228        2954Q
USC00200230        3181S
USC00200342        2312Q
USC00200343        2211R
USC00200361        2668Q
USC00200417        2547S
USC00200446        2710R
USC00200718        2046S
USC00200758        2498Q
USC00200770        2136R
USC00200779        2526S
USC00200842        2994Q
USC00200864        2881R
USC00200925        2789C
USC00201052        2669Q
USC00201150        2822Q
USC00201238        2681Q
USC00201250        2885Q
USC00201299        2753R
USC00201343        2587Q
USC00201361        2596R
USC00201435        1966Q
USC00201439        1896R
USC00201468        2477R
USC00201476        2796S
USC00201486        2085R
USC00201492        2159R
USC00201502        2889Q
USC00201675        2893S
USC00201780        1804R
USC00201802        2217R
USC00201818        2762Q
USC00201896        2110S
USC00202015        3273S
USC00202016        3163Q
USC00202094        1959S
USC00202250        2869S
USC00202308        3195Q
USC00202328        2874Q
USC00202381        2649C
USC00202395        3019R
USC00202423        2455S
USC00202427        3128Q
USC00202445        3446S
USC00202503        2186Q
USC00202631        2895S
USC00202691        2859Q
USC00202737        2033R
USC00202788        2614Q
USC00202804        2413R
USC00202851        2771Q
USC00202955        2623Q
USC00202984        2336S
USC00203025        2543Q
USC00203096        2288S
USC00203099        2124R
USC00203188        2238Q
USC00203278        2847Q
USC00203290        2856R
USC00203295        2499Q
USC00203391        2290S
USC00203429        2855R
USC00203477        2906S
USC00203504        3337R
USC00203529        2414S
USC00203585        2167S
USC00203628        2079R
USC00203632        2494R
USC00203661        2819S
USC00203712        2881Q
USC00203744        1961R
USC00203769        2635R
USC00203823        2886R
USC00203858        3109R
USC00203913        2755Q
USC00203930        2390R
USC00203932        2395R
USC00203947        2990Q
USC00204078        2779S
USC00204090        2372S
USC00204104        2033S
USC00204130        2094Q
USC00204257        2212R
USC00204258        2214Q
USC00204399        2649Q
USC00204502        2312S
USC00204655        2746S
USC00204659        2830Q
USC00204793        2764Q
USC00204808        2506Q
USC00204954        2561R
USC00204967        2388R
USC00205050        2942Q
USC00205065        2668S
USC00205073        1749S
USC00205097        2654R
USC00205168        2546Q
USC00205434        2878S
USC00205450        3103R
USC00205451        3068Q
USC00205452        2802R
USC00205531        2525R
USC00205533        2432Q
USC00205558        3175R
USC00205563        3175Q
USC00205567        2604S
USC00205591        1908Q
USC00205603        3092Q
USC00205662        2716R
USC00205690        1856R
USC00205810        1831Q
USC00205816        1904R
USC00205822        3075Q
USC00206007        2135Q
USC00206012        2511R
USC00206158        2443R
USC00206184        2564S
USC00206220        2357S
USC00206300        2850S
USC00206442        2144Q
USC00206507        2115S
USC00206510        2133Q
USC00206583        2150Q
USC00206587        2608Q
USC00206658        2893R
USC00206662        2461Q
USC00206663        2274R
USC00206680        2880R
USC00206982        2710Q
USC00207094        2285S
USC00207190        2130R
USC00207222        2884Q
USC00207225        2712Q
USC00207253        2760R
USC00207274        2064S
USC00207277        2121R
USC00207280        2921S
USC00207308        2998Q
USC00207312        2990Q
USC00207320        3047Q
USC00207350        2653R
USC00207364        1968R
USC00207515        2385R
USC00207684        2441Q
USC00207690        3062S
USC00207812        1953S
USC00207820        2483S
USC00207867        2394R
USC00208043        1833R
USC00208080        3046Q
USC00208184        3145S
USC00208202        2990Q
USC00208249        2478Q
USC00208293        2009R
USC00208345        1840Q
USC00208417        2279S
USC00208443        2642Q
USC00208680        2045R
USC00208706        1808Q
USC00208774        2615Q
USC00208800        2406S
USC00208920        1673S
USC00208941        2696R
USC00208972        2719Q
USC00209188        2553Q
USC00210018        2548R
USC00210050        2533R
USC00210059        2260R
USC00210075        2852S
USC00210157        3161R
USC00210190        2667Q
USC00210252        2354C
USC00210287        2716S
USC00210355        2747S
USC00210387        1921R
USC00210515        2358R
USC00210564        1654Q
USC00210643        2092R
USC00210667        2798S
USC00210746        2409R
USC00210809        2120R
USC00210939        2402S
USC00210973        2759Q
USC00210989        1871R
USC00211063        2743R
USC00211065        2799Q
USC00211074        2151R
USC00211107        2707R
USC00211174        2699R
USC00211198        2695S
USC00211227        2657R
USC00211245        2652R
USC00211250        2113Q
USC00211263        2910S
USC00211374        2239S
USC00211390        2766R
USC00211448        2839R
USC00211465        3188R
USC00211468        2802Q
USC00211630        2216S
USC00211691        2878S
USC00211771        2036Q
USC00211776        2224R
USC00211840        1933R
USC00211891        2416S
USC00212015        2725Q
USC00212023        2904Q
USC00212050        2419R
USC00212088        2765R
USC00212142        2712R
USC00212246        1704R
USC00212500        2838Q
USC00212543        2121R
USC00212555        1992Q
USC00212576        1720R
USC00212645        1972R
USC00212698        3075S
USC00212721        2783S
USC00212737        2930S
USC00212768        2571R
USC00212842        2010R
USC00212881        2880S
USC00212916        2222R
USC00213076        2813S
USC00213104        2683S
USC00213174        2816S
USC00213282        1454S
USC00213290        2553S
USC00213296        1584R
USC00213303        2314C
USC00213311        2847Q
USC00213411        2351S
USC00213417        1814R
USC00213455        2234R
USC00213567        2849R
USC00213793        2316R
USC00213962        2842S
USC00214103        2197R
USC00214106        2136S
USC00214176        2725R
USC00214191        1998Q
USC00214306        2010R
USC00214373        2550Q
USC00214453        2782R
USC00214534        2852S
USC00214546        2907S
USC00214652        2321S
USC00214778        2711S
USC00214793        2854S
USC00214809        2034R
USC00214861        2408S
USC00214884        3274R
USC00214918        1515R
USC00214937        3085R
USC00214994        2917S
USC00215012        2531R
USC00215073        2956R
USC00215175        1982R
USC00215204        2945S
USC00215325        2541R
USC00215392        2449S
USC00215400        3069S
USC00215563        2807R
USC00215586        2731R
USC00215598        2352S
USC00215615        2497R
USC00215638        2630S
USC00215838        2911R
USC00215842        2893S
USC00215887        3031S
USC00215902        2383Q
USC00215989        2074Q
USC00216148        2283R
USC00216152        2792S
USC00216211        1849Q
USC00216228        2665Q
USC00216276        2585R
USC00216287        2889S
USC00216547        2380S
USC00216565        2825S
USC00216612        2259Q
USC00216654        2835S
USC00216787        2337S
USC00216795        2305R
USC00216822        2894R
USC00216839        2933Q
USC00216920        2546Q
USC00217087        2139R
USC00217107        2823S
USC00217149        2582R
USC00217184        2831R
USC00217326        2895S
USC00217377        2941R
USC00217379        2907Q
USC00217405        3047S
USC00217460        2332Q
USC00217502        2825S
USC00217907        2903S
USC00217935        2953Q
USC00218025        2910R
USC00218037        3305R
USC00218039        2728Q
USC00218191        2272R
USC00218227        2865R
USC00218247        2399R
USC00218254        2299R
USC00218307        2056Q
USC00218311        1977S
USC00218323        2921S
USC00218419        1768S
USC00218421        1936R
USC00218429        2797R
USC00218450        3122R
USC00218477        3166R
USC00218579        2259S
USC00218618        2271R
USC00218621        2336Q
USC00218679        2082S
USC00218692        2935S
USC00218700        2128R
USC00218808        2991R
USC00218907        2719S
USC00218947        2708Q
USC00218986        2595R
USC00219004        2808S
USC00219033        3128S
USC00219046        2971S
USC00219067        3324R
USC00219072        2849R
USC00219101        2157R
USC00219134        1806R
USC00219170        2815S
USC00219173        2204S
USC00219249        2707S
USC00220021        5572S
USC00220488        5345R
USC00220521        6203R
USC00220585        6360R
USC00220660        5953S
USC00220792        6943R
USC00220955        5011R
USC00221094        6071S
USC00221111        5790Q
USC00221314        5517S
USC00221389        5804R
USC00221489        5773R
USC00221606        5479R
USC00221707        5471S
USC00221738        5700R
USC00221743        5596R
USC00221852        6085S
USC00221865        6418R
USC00221880        5792R
USC00221962        5022S
USC00222094        6325R
USC00222282        5428Q
USC00222385        5854R
USC00222896        5436R
USC00223107        5859S
USC00223208        5243S
USC00223605        5766R
USC00223645        5374S
USC00223671        6795R
USC00223887        6395S
USC00223920        6385S
USC00223975        5690R
USC00224001        5139S
USC00224173        5001S
USC00224265        5105R
USC00224377        5145R
USC00224455        4863S
USC00224702        5659R
USC00224776        5440R
USC00224869        5614Q
USC00224939        6131S
USC00225062        5488R
USC00225070        6159R
USC00225247        5536R
USC00225361        5747R
USC00225704        6303R
USC00225789        6333R
USC00225897        5802R
USC00225987        6294R
USC00226009        5856S
USC00226177        6233S
USC00226308        5709S
USC00226476        6106R
USC00226527        5167R
USC00226638        6200Q
USC00226718        6441R
USC00226811        6176R
USC00226894        6020S
USC00226921        6540R
USC00226926        5737R
USC00227111        5204S
USC00227128        6345R
USC00227132        5917S
USC00227252        5920R
USC00227276        5680Q
USC00227444        5927R
USC00227467        4942R
USC00227560        5973S
USC00227815        5453Q
USC00227831        5937Q
USC00227840        6940S
USC00227921        5308Q
USC00228374        5600S
USC00228445        5785S
USC00228998        5565S
USC00229004        5444Q
USC00229048        6388R
USC00229079        5456S
USC00229173        5480R
USC00229216        6092R
USC00229230        6067Q
USC00229400        5347S
USC00229426        6586S
USC00229439        6135R
USC00229639        6363R
USC00229743        5301S
USC00229793        6468R
USC00229860        5898R
USC00230051        3884Q
USC00230127        4436R
USC00230143        3840S
USC00230163        4440Q
USC00230164        4519S
USC00230204        4243S
USC00230224        4158R
USC00230304        4413Q
USC00230360        4250Q
USC00230368        4212Q
USC00230608        3672R
USC00230657        4442R
USC00230789        4394S
USC00230817        4275R
USC00230856        3900R
USC00230980        3901S
USC00231037        3941S
USC00231087        4073R
USC00231101        3963R
USC00231145        4383S
USC00231189        4201S
USC00231212        4719R
USC00231275        3831R
USC00231340        4128S
USC00231356        4679R
USC00231364        4949R
USC00231383        4249R
USC00231540        4663R
USC00231580        4150R
USC00231600        4015Q
USC00231640        4028R
USC00231674        4545R
USC00231711        4292S
USC00231748        4159Q
USC00231801        4352R
USC00231822        3755R
USC00232240        4525R
USC00232289        4574R
USC00232302        4295R
USC00232503        4372R
USC00232511        4401R
USC00232568        3992R
USC00232591        4346S
USC00232619        4496Q
USC00232809        4177R
USC00232850        4218R
USC00232981        4060Q
USC00233038        4202R
USC00233043        4057R
USC00233079        3990S
USC00233094        4406R
USC00233102        3833R
USC00233162        4348Q
USC00233369        3600R
USC00233416        3564Q
USC00233451        4296R
USC00233483        4216R
USC00233568        3662R
USC00233601        3870S
USC00233838        3958R
USC00234019        4229R
USC00234154        4130R
USC00234226        4568R
USC00234271        4288S
USC00234382        4020Q
USC00234417        4975R
USC00234544        3601S
USC00234694        4366S
USC00234705        4524S
USC00234825        4291S
USC00234850        4116S
USC00234904        4193S
USC00234919        4215S
USC00234982        3742Q
USC00235027        4324S
USC00235050        3892R
USC00235207        4839R
USC00235227        4216R
USC00235253        4516S
USC00235307        4221C
USC00235340        3730S
USC00235492        3600R
USC00235541        4090R
USC00235671        4007S
USC00235704        4385S
USC00235708        4132Q
USC00235834        4123S
USC00235862        4395S
USC00235950        4609Q
USC00235976        4455R
USC00235987        4624S
USC00236012        4043S
USC00236045        4858R
USC00236302        3743R
USC00236357        3902R
USC00236402        4571R
USC00236460        4391S
USC00236641        4249R
USC00236745        4131R
USC00236777        4400R
USC00236791        4763S
USC00236804        4862S
USC00236826        4118R
USC00236866        3932R
USC00237116        3989Q
USC00237263        4334S
USC00237300        3919R
USC00237309        4275Q
USC00237397        4157S
USC00237398        4384S
USC00237452        4627R
USC00237475        4251R
USC00237506        4639S
USC00237514        4076S
USC00237578        4168S
USC00237632        4024S
USC00237645        4187R
USC00237656        4734Q
USC00237720        3787R
USC00237772        4963R
USC00237862        4019R
USC00237963        3683R
USC00238043        4089R
USC00238051        4156S
USC00238082        4358R
USC00238184        4190R
USC00238223        4173S
USC00238444        3841R
USC00238466        4334R
USC00238515        4542S
USC00238523        3640R
USC00238571        4542R
USC00238577        3913R
USC00238583        4203Q
USC00238603        4102S
USC00238620        4679R
USC00238664        4584Q
USC00238700        4797R
USC00238712        4183R
USC00238725        4018R
USC00238754        4250R
USC00238777        4072S
USC00238805        4201R
USC00238880        4326R
USC00238995        4343R
USC00239032        4229R
USC00239178        4306Q
USC00240075        2475Q
USC00240088        2797R
USC00240110        1961S
USC00240199        2152S
USC00240364        2419R
USC00240375        1844S
USC00240392        1897R
USC00240412        2578Q
USC00240432        2845R
USC00240466        2599R
USC00240554        2315Q
USC00240743        2928S
USC00240755        2088S
USC00240770        2688R
USC00240775        1753R
USC00240780        2650S
USC00240801        2882R
USC00240802        3215S
USC00240819        3163R
USC00240877        2070R
USC00240923        2474R
USC00241008        2222C
USC00241044        2393S
USC00241047        2311S
USC00241050        1683R
USC00241084        2957S
USC00241088        2465S
USC00241102        2703R
USC00241127        2998S
USC00241169        2718S
USC00241262        2104Q
USC00241297        2759S
USC00241470        2328R
USC00241500        2647R
USC00241518        2396S
USC00241525        2565S
USC00241552        2588C
USC00241557        2162S
USC00241692        2393S
USC00241722        2614S
USC00241730        2303Q
USC00241737        2323S
USC00241758        2765S
USC00241875        2722C
USC00241905        2631S
USC00241938        2820S
USC00241974        2236R
USC00241984        2678S
USC00241995        1414S
USC00242104        1965S
USC00242122        2807R
USC00242221        2429R
USC00242275        2081R
USC00242301        1808R
USC00242347        2366S
USC00242409        2306S
USC00242421        2037R
USC00242550        2342Q
USC00242629        1581R
USC00242689        2597S
USC00242738        2054Q
USC00242793        2329S
USC00242827        2484S
USC00242857        2220S
USC00243013        2905S
USC00243089        2527R
USC00243098        2965S
USC00243110        2702S
USC00243113        2725S
USC00243139        2192R
USC00243176        3008S
USC00243378        2595R
USC00243437        1238Q
USC00243445        2777R
USC00243489        1747S
USC00243530        2496S
USC00243557        2827R
USC00243570        2430R
USC00243581        2987S
USC00243617        2238S
USC00243727        2508S
USC00243749        2626Q
USC00243753        2375R
USC00243885        2431R
USC00243915        3245S
USC00243929        2844S
USC00243934        2437Q
USC00243939        2311R
USC00243984        1994R
USC00244007        2763R
USC00244038        1696S
USC00244084        2119S
USC00244180        2622R
USC00244193        2358Q
USC00244241        2661S
USC00244297        2436R
USC00244328        2061S
USC00244345        2848S
USC00244358        2913S
USC00244364        2745S
USC00244368        2603R
USC00244386        2859S
USC00244447        1562R
USC00244506        2681S
USC00244512        2357S
USC00244522        2712R
USC00244530        2808R
USC00244545        1995S
USC00244558        2082S
USC00244560        2133Q
USC00244820        1639R
USC00244839        2789R
USC00244896        1971Q
USC00244954        1719S
USC00245000        2287R
USC00245011        2345R
USC00245015        2599S
USC00245020        1929S
USC00245030        1926S
USC00245040        2079R
USC00245043        1772S
USC00245080        2285S
USC00245123        2224Q
USC00245153        2778C
USC00245285        2278R
USC00245334        2855R
USC00245338        2721S
USC00245340        2775S
USC00245387        2264S
USC00245572        2525S
USC00245596        3030S
USC00245603        1810R
USC00245668        2681S
USC00245712        1960R
USC00245735        2291S
USC00245740        2342Q
USC00245754        2939S
USC00245761        2239C
USC00245870        2962S
USC00245872        2897R
USC00245961        1768S
USC00245983        2953R
USC00246007        2069Q
USC00246008        2183R
USC00246157        2920S
USC00246190        2489S
USC00246218        1918S
USC00246236        2252S
USC00246238        2086S
USC00246304        1992S
USC00246370        2239Q
USC00246472        2062R
USC00246580        1931Q
USC00246586        2623R
USC00246601        2712S
USC00246615        1897R
USC00246618        1972Q
USC00246635        2258S
USC00246640        2397S
USC00246647        2694R
USC00246655        1921R
USC00246672        2448R
USC00246685        2182S
USC00246691        2982S
USC00246862        2714R
USC00246893        2457S
USC00246902        2317C
USC00246918        2059R
USC00246927        2392R
USC00247034        2632S
USC00247136        2615S
USC00247159        2109R
USC00247204        2236Q
USC00247214        3088S
USC00247220        2696Q
USC00247228        2675R
USC00247234        2971R
USC00247247        2482Q
USC00247248        2505Q
USC00247250        2405R
USC00247261        2803Q
USC00247263        2404S
USC00247265        2608R
USC00247286        2546S
USC00247292        1781R
USC00247318        2470R
USC00247342        2514Q
USC00247382        2938S
USC00247425        2475R
USC00247448        2175S
USC00247500        2421R
USC00247540        2226R
USC00247560        2956S
USC00247620        2606R
USC00247740        2327S
USC00247864        2362S
USC00247894        2682S
USC00247964        2165S
USC00247967        2072Q
USC00247978        1397Q
USC00247996        2204R
USC00248021        2472S
USC00248087        2018R
USC00248093        2240R
USC00248165        2792S
USC00248169        2397S
USC00248211        2713S
USC00248233        2690R
USC00248324        2484S
USC00248363        2646R
USC00248380        2295R
USC00248390        2553R
USC00248395        2365R
USC00248415        2444R
USC00248430        2426S
USC00248498        2623R
USC00248501        2304S
USC00248569        2673R
USC00248597        2162C
USC00248777        2223R
USC00248783        2292R
USC00248809        1942S
USC00248857        1627R
USC00248858        1815Q
USC00248902        1940R
USC00248930        2106R
USC00248957        2555S
USC00249023        1809S
USC00249033        2448S
USC00249067        1788S
USC00249082        1895R
USC00249103        2953R
USC00249175        2855R
USC00249187        2007Q
USC00249240        2987S
USC00249900        2068R
USC00250030        3069S
USC00250050        3377S
USC00250070        3307R
USC00250130        3131R
USC00250138        3033Q
USC00250245        3254C
USC00250355        3222R
USC00250365        3243S
USC00250375        3841S
USC00250420        3175S
USC00250435        4049C
USC00250445        3584S
USC00250525        3128R
USC00250622        3768R
USC00250640        3936C
USC00250760        3846S
USC00250865        3541S
USC00250930        3525R
USC00251130        3238R
USC00251145        3508R
USC00251149        3301Q
USC00251189        3249Q
USC00251200        3170S
USC00251213        3163R
USC00251345        3187R
USC00251361        2787Q
USC00251365        3146S
USC00251415        3702R
USC00251450        3515S
USC00251560        3899S
USC00251578        3243Q
USC00251590        3219R
USC00251602        3358Q
USC00251660        3373R
USC00251684        3589S
USC00251825        3613C
USC00251835        3484R
USC00251973        3187R
USC00251990        3366S
USC00252000        3326R
USC00252020        3924S
USC00252037        3331R
USC00252065        3696S
USC00252100        3539R
USC00252145        2958R
USC00252205        3408S
USC00252595        3230R
USC00252647        2881R
USC00252680        3635S
USC00252741        3460R
USC00252770        3222R
USC00252790        3425Q
USC00252805        3486S
USC00252820        3791S
USC00252840        3618S
USC00252980        3396Q
USC00253015        3129Q
USC00253037        3755R
USC00253050        3619S
USC00253065        3575Q
USC00253165        2982R
USC00253175        3850C
USC00253185        3532C
USC00253355        2939S
USC00253365        3515S
USC00253425        3312S
USC00253467        3568Q
USC00253515        3621R
USC00253595        3748R
USC00253605        3047S
USC00253615        2606S
USC00253617        2601Q
USC00253618        2995Q
USC00253630        3277S
USC00253652        3261Q
USC00253660        3557S
USC00253710        2986R
USC00253715        3120R
USC00253735        3811S
USC00253755        2967C
USC00253810        3357R
USC00253910        3495S
USC00254035        3246R
USC00254100        2937R
USC00254101        2984Q
USC00254110        3390S
USC00254335        3447R
USC00254432        3172R
USC00254440        2864S
USC00254455        3318S
USC00254755        3430Q
USC00254900        3328S
USC00254903        3172R
USC00254985        3459S
USC00255040        3356R
USC00255080        3323S
USC00255090        3456S
USC00255250        3361R
USC00255362        3569S
USC00255388        3730S
USC00255470        3212R
USC00255565        3651S
USC00255590        3159R
USC00255655        3402Q
USC00255700        3390R
USC00255702        3139R
USC00255810        3748S
USC00255868        3060R
USC00255925        3031S
USC00255960        3729R
USC00255997        3226R
USC00256018        3180R
USC00256040        3388S
USC00256075        3300S
USC00256135        3250C
USC00256167        3364S
USC00256200        3483S
USC00256290        3220C
USC00256375        3472S
USC00256385        3310S
USC00256395        3342S
USC00256439        3606R
USC00256454        3682R
USC00256570        3921S
USC00256765        2940Q
USC00256970        3309R
USC00257002        3624R
USC00257040        3343S
USC00257055        3583Q
USC00257070        3684S
USC00257110        3559S
USC00257318        3231R
USC00257401        3898Q
USC00257415        2944R
USC00257515        3767S
USC00257667        3240Q
USC00257715        3674S
USC00257830        3165R
USC00258088        3596Q
USC00258090        3173R
USC00258110        3544R
USC00258117        3319Q
USC00258133        3287R
USC00258320        3833C
USC00258328        3826R
USC00258360        3110R
USC00258395        3794S
USC00258410        3796Q
USC00258455        3284Q
USC00258465        3789S
USC00258480        3391S
USC00258628        3778S
USC00258650        3164R
USC00258751        3315R
USC00258755        3445R
USC00258795        3669R
USC00258875        3668R
USC00258905        3595R
USC00258915        3499S
USC00258920        3371S
USC00258935        3494S
USC00259020        3553Q
USC00259045        3255R
USC00259090        3677S
USC00259193        3452Q
USC00259200        3406S
USC00259510        3963S
USC00259513        3600Q
USC00260125        7049Q
USC00260150        5738S
USC00260438        2321R
USC00260507        2768R
USC00260718        4743R
USC00260795        3158R
USC00260800        2838S
USC00260955        3574S
USC00261071        6347R
USC00261327        5836R
USC00261358        3934R
USC00261371        7089R
USC00261415        2623R
USC00261485        3222S
USC00261590        3552Q
USC00261660        2356Q
USC00261684        3027Q
USC00261740        2650R
USC00261905        2714R
USC00262119        1739R
USC00262189        2639R
USC00262229        3076S
USC00262243        5528S
USC00262296        2828R
USC00262390        3161R
USC00262394        2817R
USC00262431        3660R
USC00262497        6806R
USC00262557        4618R
USC00262570        2793R
USC00262656        2899R
USC00262708        2576S
USC00262780        3566R
USC00263090        3639R
USC00263114        2449R
USC00263205        2135S
USC00263245        3290R
USC00263285        3430R
USC00263316        5258Q
USC00263340        2666R
USC00263512        4077R
USC00263671        4398R
USC00263957        3337S
USC00263964        2570Q
USC00264016        2393R
USC00264039        2286R
USC00264095        2430R
USC00264236        3162R
USC00264253        3177Q
USC00264341        2901R
USC00264349        4071R
USC00264384        2840R
USC00264391        2368Q
USC00264394        2522R
USC00264439        6263R
USC00264480        7409R
USC00264491        2628Q
USC00264527        3178S
USC00264698        3433S
USC00264745        2907S
USC00264935        2829S
USC00264950        2944S
USC00265087        6517Q
USC00265092        2861R
USC00265132        3286R
USC00265168        4033R
USC00265191        3418R
USC00265352        2937R
USC00265371        2577Q
USC00265392        2432R
USC00265400        2241R
USC00265705        6562R
USC00265722        2547R
USC00265818        3080S
USC00265846        6599R
USC00265880        4800R
USC00265890        5522S
USC00266005        3118S
USC00266055        3627R
USC00266130        3493R
USC00266242        2804R
USC00266252        3387R
USC00266514        3600Q
USC00266691        5044S
USC00266746        2527S
USC00266791        3397R
USC00267123        2597S
USC00267175        2347R
USC00267188        2835Q
USC00267192        3442S
USC00267369        5383S
USC00267450        2976R
USC00267463        4170S
USC00267612        3289S
USC00267618        3448R
USC00267620        3231S
USC00267640        2481R
USC00267690        2856R
